id;type;x;y;dist;mag;spec
SCR J0630-7643A;pm;97.6936;-76.7193;27.39;~;~
LEHPM 3396;low;53.5509;-49.8922;27.40;~;M9
SCR J0630-7643B;pm;97.6947;-76.7189;27.40;~;~
Gaia DR2 2090670890062670080;pm;282.8331;33.186;27.41;~;~
V* AK Lep;by;86.1106;-22.4218;27.44;6.2;K3
V* FK Aqr;dbl*;339.6899;-20.6211;27.46;9.1;M0Vep
* gam Lep;pm;86.1158;-22.4484;27.48;3.6;F6V
G 113-20;pm;124.0333;1.3026;27.58;10.1;M2.0V
G 193-27;dbl;105.9822;52.7018;27.84;13.3;M5.0Ve
V* SZ UMa;ev;170.0201;65.8465;27.99;~;M2V
CD-31 9113;pm;173.8623;-32.54;28.01;9.8;M2V
* del Eri;Star;55.8121;-9.7634;28.05;3.5;K0+IV
HD 115953;dbl;199.9398;47.778;28.06;8.5;M2V
LP 469-206;ev;34.1244;13.5869;28.06;~;M5.0Ve
EGGR 246;wd;10.3584;-22.3506;28.07;14.6;DQ9
V* V374 Peg;ev;330.3047;28.3069;28.09;~;M3.5Ve
2MASS J06523073+4710348;bd;103.128;47.1764;28.11;~;L3.5+L6.5
WT 460;dbl;212.9996;-41.5394;28.12;~;M5.5e
* kap01 Cet;by;49.8404;3.3702;28.20;4.9;G5V
LAWD 25;wd;115.0866;-17.4137;28.22;13.1;DZQA6
LP 783-2;pm;115.0807;-17.4128;28.24;16.7;M6.5Ve
2MASS J03552337+1133437;bd;58.8474;11.5622;28.27;~;L5gamma
HD 103095;pm;178.2449;37.7187;28.30;6.5;K1V_Fe-1.5
Ross 1015;pm;205.6803;33.2901;28.36;13.9;M4V
* bet Com;pm;197.9683;27.8782;28.38;4.3;F9.5V
2MASS J17502484-0016151;bd;267.6034;-0.2708;28.42;~;L5.5
L 737-9;dbl;77.146;-18.1721;28.49;10.3;M3.5V
LP 776-46;pm;75.8337;-17.3735;28.50;11.7;M3V
LP 469-67;low;30.5677;10.3372;28.50;~;M5.5V
* gam Pav;pm;321.6109;-65.3662;28.57;4.2;F9VFe-1.4CH-0.7
G 112-50;pm;117.9778;-0.0034;28.61;13.3;M4.5V
2MASS J14162408+1348263;bd;214.1003;13.8073;28.64;~;L5
HD 102365B;pm;176.6362;-40.4966;28.72;15.4;M4V
GAT 1367;pm;2.8826;59.1444;28.73;15.7;M6.0V
HD 102365;pm;176.6295;-40.5004;28.76;4.9;G2V
BD-18 359;dbl*;31.2703;-17.6146;28.76;10.2;M2.5
2MASS J18212815+1414010;bd;275.3673;14.2336;28.83;~;L5
2MASS J03400942-6724051;bd;55.039;-67.4012;28.88;~;L7::
Ross 837;pm;209.558;12.5789;28.88;~;M3.5V
CD-30 731;pm;31.4523;-30.1766;28.94;12.2;M2.5+V
EGGR 41;wd;69.4475;-8.8196;29.02;14.1;DQ8
Wolf 1062;dbl;288.0609;2.8865;29.03;11.1;M3.5V
CD-45 5378;pm;146.1243;-45.7765;29.06;10.0;M1.0
L 678-39;pm;144.0068;-21.6608;29.12;10.9;M2.5V
1RXS J115928.5-524717;low;179.864;-52.7886;29.19;~;M9Ve
G 222-11;pm;92.5827;82.1068;29.20;~;M2.5V
PM J18057-1422;pm;271.4361;-14.3785;29.24;~;M5.5V
HD 285968;pm;70.7324;18.9582;29.27;10.0;M2.5V
CD-51 6859;pm;189.4676;-52.0015;29.29;10.7;M3V(e)
G 234-45;pm;130.3339;59.4973;29.31;~;dM5.5
BPS CS 22879-0089;pm;312.2915;-40.2017;29.34;13.5;~
L 35-12;pm;139.2722;-77.8232;29.38;13.1;M4.5V
G 192-15;pm;90.6216;49.8656;29.40;~;M5.0V
G 144-25;pm;310.1411;15.4996;29.41;13.4;M4.5V
BD+43 2796;pm;265.9832;43.3786;29.41;10.5;M2V
G 42-24;ev;148.4799;20.9463;29.45;~;M4.0Ve
* 20 Crt B;wd;173.627;-32.834;29.48;15.0;DC
* 20 Crt;pm;173.6229;-32.8313;29.50;6.0;K0V
Wolf 1069;pm;306.5221;58.573;29.54;~;dM5.0
* 61 UMa;pm;175.2626;34.2016;29.55;5.3;G8V
PM J20502-3424;pm;312.5673;-34.4118;29.63;13.9;M5e
CD-40 5404;dbl;144.9432;-41.0676;29.64;10.7;M3V
Wolf 227;dbl*;58.174;17.0178;29.81;~;M5V
2MASS J14053729+8350248;bd;211.4051;83.8402;29.83;~;L8
CD-48 11837;pm;263.8067;-48.6809;29.87;10.1;M1.5V
CD-48 11837B;pm;263.806;-48.68;29.90;~;M3V
L 768-119;dbl*;235.5273;-19.4718;29.91;11.9;M3
V* AU Mic;low;311.2897;-31.3409;29.97;8.6;M1VeBa1
L 88-59;wd;25.7541;-67.3084;29.98;13.9;DA8.1
2MASS J20304235+0749358;bd;307.6764;7.8266;30.02;~;T1.5
G 119-36;dbl;162.4401;35.5475;30.03;~;M5V
2MASS J02572581-3105523;bd;44.3576;-31.0978;30.05;~;L8.5
LP 655-48;pm;70.097;-5.5023;30.08;17.8;M7.5Ve
Ross 905;pm;175.5462;26.7066;30.16;10.6;M3V
G 268-110;pm;16.2242;-18.1246;30.17;14.5;dM5.0
V* AT Mic B;pm;310.4632;-32.4362;30.26;11.3;M4.5Ve
2MASSW J1515008+484742;bd;228.7536;48.7948;30.26;~;L6.5
HD 151288;pm;251.2765;33.5092;30.38;8.1;K7.5Ve
BD+61 195;pm;15.662;62.345;30.42;~;M1.5V
Wolf 47;ev;15.8326;62.3655;30.44;13.2;M5V
BD+66 34A;ev;8.1229;67.2359;30.53;10.3;M2V
* 12 Oph;by;249.0894;-2.3246;30.53;5.8;K1V
UPM J0815-2344;pm;123.7967;-23.7377;30.54;12.3;~
G 203-42;pm;255.8495;51.4064;30.57;~;M5.0V
HD 232979;ev;69.4205;52.8936;30.58;8.6;M0.5V
G 48-20;pm;142.6858;0.3227;30.58;11.7;M3.5Ve
V* AT Mic A;pm;310.463;-32.4352;30.61;10.4;M4.5Ve
G 160-28;pm;57.6845;-6.0949;30.63;12.8;M3V
G 184-19;dbl*;280.2907;24.7873;30.65;~;M4.5V
L 403-34;pm;210.9648;-42.6981;30.67;13.0;M5e
Gaia EDR3 478823780455331968;pm;71.2264;63.4023;30.68;~;~
G 184-19B;low;280.2908;24.7888;30.69;14.4;M4.5Ve
BD+16 2708;ev;223.6218;16.1011;30.70;10.2;M3V
BD+66 34B;pm;8.1233;67.2344;30.73;12.2;M3V
LP 98-79;ev;217.6575;59.7236;30.76;17.9;M6.5V
G 36-24;ev;38.4049;24.9271;30.81;~;M3.5Ve
HD 260655;pm;99.295;17.5648;30.85;9.6;M0.0Ve
Ross 440;dbl;142.8309;-13.4886;30.89;10.1;M3V
G 137-78;pm;240.7123;20.5892;30.92;12.6;M4V
HD 10780;by;26.9368;63.8525;30.98;5.6;K0V
G 195-59;pm;153.1449;57.0636;30.99;~;M3.5Ve
APMPM J0237-5928;pm;39.1352;-59.4682;31.00;~;M4.5V
G 146-58;pm;160.4078;37.6109;31.02;~;M4.0Ve
HD 122064;pm;209.3836;61.4929;31.06;~;K3V
L 480-69;pm;234.1437;-37.9064;31.11;12.7;M5e
G 115-42;ev;135.1353;46.5864;31.12;13.3;M4.5V
HD 223889;pm;358.4588;-75.6325;31.22;10.0;M3
BD+05 3409;pm;262.5947;5.5485;31.22;9.4;M1.0Ve
HD 103932;pm;179.4842;-27.707;31.39;7.0;K4+V
G 97-15;ev;76.0615;11.0566;31.41;~;M5V
G 19-15;dbl;257.9677;-1.8518;31.43;11.4;M3V
* alf Men;pm;92.5603;-74.753;31.51;5.1;G7V
G 237-78;dbl*;192.2615;66.1102;31.52;~;M3V
Ross 41;pm;82.0006;9.6439;31.52;12.4;M3.5Ve
* alf Men B;Star;92.5574;-74.7533;31.53;~;M3.5
SCR J1245-5506;pm;191.4688;-55.1139;31.55;13.7;M5e
L 788-37;pm;333.4286;-17.6857;31.59;13.7;dM4.5
L 363-38;pm;10.8583;-41.2928;31.60;11.5;M5
L 273-106;pm;280.7791;-54.6134;31.60;~;M5
G 100-28;ev;85.1072;24.8022;31.62;14.9;M7V
LSR J0419+4233;pm;64.9672;42.5584;31.66;~;M8/9V
EGGR 250;wd;138.9837;53.4233;31.70;~;DCP7
LSR J0510+2713;pm;77.5837;27.2339;31.71;~;M7V
G 142-11;pm;287.462;17.6684;31.73;~;M4V
LP 245-10;ev;34.2917;35.4424;31.90;~;M7V
HD 17925;rs;43.1339;-12.7697;31.97;6.1;K1V
L 167-14;pm;344.1028;-60.0637;32.03;14.0;M4.5V
BD+25 3173;pm;254.5369;25.7442;32.06;9.7;M2V
LSPM J2044+1517;pm;311.1562;15.293;32.07;~;~
CPD-69 177;wd;47.6292;-68.6009;32.08;11.4;DA3.0
LP 848-50;pm;160.6723;-24.2678;32.09;~;~
HD 122303;pm;210.2633;-2.6549;32.16;9.7;M0V
SCR J0533-4257;low;83.3668;-42.9557;32.17;~;M4.5
2MASS J09083803+5032088;bd;137.1584;50.5356;32.17;~;L8
LP 852-7;wd;181.3611;-23.5534;32.18;12.9;DA5.7
HD 304636;pm;140.4067;-60.282;32.24;9.5;M0.0
LP 783-1;pm;114.6707;-21.2246;32.26;11.7;dM3.0
HD 154363;pm;256.2641;-5.0665;32.29;7.7;K4/5V
HD 154363B;pm;256.3074;-5.0942;32.29;10.1;M1.5V
LP 169-22;pm;169.8775;46.6953;32.30;15.9;M5.5
G 169-29;ev;252.7414;22.4516;32.30;14.3;M5V
L 140-289;pm;145.7067;-63.6322;32.32;13.3;M4.5V
2MASS J05591914-1404488;bd;89.8299;-14.0803;32.39;~;T4.5
LSPM J0330+5413;pm;52.7037;54.232;32.41;16.0;M7V
L 923-22;pm;290.1394;-7.6622;32.42;11.7;M5V
LAWD 74;wd;290.1455;-7.6667;32.42;12.3;DBQA5
BD+02 348;pm;33.0874;3.5756;32.43;10.0;M1V
BD+63 869;pm;149.0361;62.7885;32.46;9.2;M0.5Ve
Wolf 44;pm;15.3335;61.3657;32.49;10.9;M2.0Ve
G 159-3;ev;27.7671;-6.1181;32.58;14.5;M4.5Ve
LP 647-13;pm;17.4633;-3.724;32.61;19.3;M9Ve
HD 209290;pm;330.5428;1.4002;32.63;9.1;M0.5V
* iot Per;pm;47.2667;49.6133;32.64;~;G0V
G 185-18;pm;290.4113;20.8676;32.69;13.4;M4.0Ve
G 68-8;pm;350.406;17.2904;32.70;11.7;M3.5Ve
LP 860-41;pm;238.1859;-26.3871;32.70;~;M6.0V
LP 775-31;pm;68.8173;-16.1159;32.72;17.8;M8Ve
L 98-59;pm;124.5318;-68.313;32.73;11.7;M3V
G 107-48;pm;106.9073;48.6871;32.75;~;M4.35
LP 867-15;pm;280.5462;-23.483;32.75;12.1;M3.5
G 22-26;pm;290.5086;7.0418;32.76;~;M4V
G 261-6;pm;291.0679;75.5533;32.80;~;M6V
DENIS J145407.8-660447;bd;223.5332;-66.0798;32.85;~;L3.5
Ross 165A;pm;296.4394;27.1253;32.87;~;M4V
Ross 165B;pm;296.4398;27.1256;32.87;~;M4V
