id;type;x;y;dist;mag;spec
HD 237287;dbl*;69.0259;55.4122;102.53;~;K1
LSPM J2056+4624;pm;314.1903;46.4005;102.54;~;~
2MASS J20270673-1452184;pm;306.7781;-14.8718;102.54;~;~
LP 495-245;pm;190.3248;8.4941;102.54;~;~
Gaia EDR3 6064998845687183232;pm;207.2434;-54.3887;102.54;~;~
2MASS J17333281+3144571;bd;263.3865;31.7493;102.54;~;L2pec
HD 31501;pm;74.4974;34.268;102.54;~;G8V
HD 44985;pm;96.3344;11.2332;102.55;7.0;F8
G 273-191B;pm;359.5571;-17.4096;102.55;~;M2e
2MASS J08194351-0450071;bd;124.9313;-4.8353;102.55;~;L1:pec
2MASS J05443931-1309384;pm;86.1638;-13.1607;102.56;~;~
HD 317101B;pm;271.359;-29.4966;102.57;~;~
Gaia DR2 5246072346118470272;pm;148.4054;-65.7373;102.57;~;~
SIPS J1250-0149;pm;192.5278;-1.8227;102.57;~;~
LP 787-49;wd;142.4299;-17.5474;102.57;16.0;DA5.0
HD 207043;pm;326.9804;-52.9306;102.58;7.6;G5V
HD 4449;dbl*;11.669;-4.4271;102.58;7.6;K0/1V
UCAC4 532-070729;pm;273.8941;16.2403;102.58;12.4;M1.5
UCAC4 607-009630;pm;56.0953;31.2958;102.58;15.7;~
LSPM J0130+5957;pm;22.7276;59.965;102.58;~;~
UCAC4 590-002111;Star;12.5381;27.9001;102.59;14.8;~
UCAC4 252-080019;pm;236.2833;-39.7589;102.59;13.1;~
UCAC4 620-046881;pm;159.3477;33.9393;102.59;~;~
TYC 1598-1505-1;Star;287.6339;21.7628;102.59;11.4;~
2MASS J13574816-2134442;pm;209.4506;-21.5791;102.60;~;~
BD-03 1821;pm;109.0445;-3.6659;102.61;9.0;K2V
UCAC4 183-203329;pm;267.5765;-53.5113;102.61;14.7;~
PM J17004-2207;pm;255.1166;-22.1294;102.62;15.0;~
HD 162826;Star;267.8084;40.0725;102.62;6.6;F8V
Gaia DR2 4284736924423471104;Star;278.2722;5.6214;102.62;~;~
PM J19019+2240;pm;285.4829;22.6776;102.63;~;~
BD+33 1931;dbl;149.9521;33.0919;102.63;10.8;K5V
UCAC4 491-062382;pm;227.9966;8.0164;102.63;16.0;~
2MASS J05243648-0535175;pm;81.152;-5.5883;102.63;~;M5.0
LP 822-1;pm;348.0594;-17.763;102.64;14.9;M4
UCAC4 443-052244;pm;147.7408;-1.5692;102.65;16.1;~
HD 201247A;pm;317.6056;-54.5737;102.65;7.7;G5V
LP 638-40;pm;327.0426;1.4451;102.66;~;M3V
HD 197373;pm;310.0746;60.5053;102.66;~;F6IV
LP 799-73;wd;213.0849;-18.7116;102.66;~;DC
HD 85301;pm;148.0699;49.1908;102.66;~;G5
TYC 4073-807-1;pm;65.2167;64.1579;102.66;11.5;~
UCAC4 138-179293;pm;266.6244;-62.5967;102.67;~;~
MCC 677;pm;192.6372;40.3701;102.67;~;M0V
LP 492-62;pm;171.9899;8.8504;102.68;~;~
* eta Ant;pm;149.7178;-35.891;102.69;5.2;F1V
PM J05341+4732A;pm;83.5444;47.534;102.69;~;~
2MASS J14304358+2915405;bd;217.6816;29.2613;102.69;~;L1.5V
Gaia DR2 4262365234379272832;Star;287.4455;-0.8236;102.70;~;~
Ross 943;pm;180.6672;36.6019;102.70;~;M0.5
PM J03294+1142;pm;52.3551;11.7031;102.70;13.2;M2.5V
G 67-33;pm;343.6285;23.5185;102.70;~;K7V
PM J05341+4732B;pm;83.5446;47.5346;102.72;~;~
LP 792-72;pm;169.2039;-19.3552;102.72;19.1;~
HD 44985B;pm;96.3368;11.2321;102.73;~;~
UCAC4 208-059661;pm;174.6831;-48.4321;102.73;14.0;~
Ross 688;pm;136.9156;6.3002;102.74;12.5;~
UCAC4 547-068150;Star;273.4827;19.2875;102.74;13.8;~
UCAC3 302-138983;pm;310.0866;60.5083;102.74;~;~
HD 95521;pm;165.2094;-49.0198;102.74;7.6;G2V
LEHPM 238;pm;2.3007;-45.8714;102.74;~;~
HD 201247B;pm;317.6071;-54.5745;102.75;7.9;G7V
LP 625-42;pm;250.7509;-1.7896;102.75;~;~
G 158-22;pm;0.6544;-11.393;102.75;13.3;~
G 118-43A;pm;153.7789;31.4195;102.75;~;~
2MASSI J0228110+253738;bd;37.0459;25.6272;102.75;~;L0
Gaia EDR3 2207815706446693376;pm;349.271;64.3932;102.77;~;~
2MASS J01241358+8334352;pm;21.0567;83.5764;102.77;~;~
* lam Hya;dbl*;152.647;-12.3541;102.78;3.6;K0IIIbCN0.5
SCR J2153-6122;pm;328.2669;-61.3698;102.78;~;~
* eta Her;pm;250.724;38.9223;102.79;3.5;G7IIIFe-1
UCAC4 299-228345;pm;285.4929;-30.3439;102.79;12.8;~
HD 21693;pm;51.802;-58.3237;102.79;7.9;G9IV-V
WT 695;pec;304.1459;-54.0881;102.79;~;~
SCR J2105-3515;pm;316.424;-35.2501;102.79;14.1;~
Gaia EDR3 4667446586695129472;pm;57.522;-68.8854;102.79;~;~
UCAC4 532-070727;pm;273.8937;16.2367;102.79;~;~
* zet For;pm;44.9008;-25.2741;102.79;5.7;F4V
2MASS J05010951-4604402;pm;75.2896;-46.0778;102.80;~;~
LP 134-45;pm;220.9302;55.5208;102.80;~;~
Gaia EDR3 3533077004345702656;pm;171.6549;-27.113;102.80;~;~
2MASS J16014929+6146432;pm;240.4553;61.7787;102.80;~;~
LSPM J1806+1141;pm;271.5903;11.6834;102.81;~;M4.0V
LP 944-39;pm;56.1993;-38.3363;102.81;12.0;~
LP 323-246;pm;205.3848;27.5115;102.81;~;~
SCR J0928-3407;pm;142.1648;-34.1175;102.82;~;~
LP 105-557;wd;301.7287;61.7195;102.82;~;DA
HD 172513;pm;280.5098;-34.4663;102.82;7.9;G8V
L 453-49;pm;101.1349;-38.5329;102.82;14.2;M3.5
G 156-80;pm;345.9017;-7.2751;102.82;13.3;M2.5V
LP 795-24 B;pm;188.1295;-20.1823;102.82;~;~
L 68-70;pm;189.7157;-72.909;102.83;~;~
LP 929-40;pm;321.022;-30.6171;102.83;14.4;~
UCAC4 404-020261;Star;104.835;-9.381;102.83;~;~
HD 219953;pm;349.9928;28.8678;102.83;~;K2
Gaia EDR3 5790182751914903424;pm;212.6736;-75.1751;102.84;~;~
LP 872-11;pm;311.8444;-25.7853;102.85;13.4;~
LP 150-53;pm;13.4268;49.7142;102.85;~;M6e
SIPS J0325-8159;pm;51.3102;-81.9882;102.85;~;~
LP 263-61;pm;165.6058;35.4161;102.85;~;~
LP 528-12;pm;27.3558;4.2273;102.86;~;~
APMPM J0053-8200;pm;13.218;-82.0059;102.86;~;M3V
G 83-24;pm;69.307;11.1488;102.86;~;~
G 3-31;pm;29.8434;13.6114;102.86;~;M4Ve
L 357-25;pm;340.2416;-45.7235;102.87;13.8;M3
PM J15382-0154;pm;234.5589;-1.9151;102.87;14.0;~
* 67 UMa;Variable Star of delta Sct type;180.5282;43.0456;102.87;~;F0Vam
LP 635-36;pm;309.9784;-2.0289;102.87;15.0;~
WT 2029;pm;198.9157;-22.04;102.87;~;~
CD-28 17856;pm;339.4031;-28.0913;102.87;10.7;K5V
GD 165;wd;216.1631;9.2873;102.88;14.3;DA4.1
HD 224832;pm;0.2674;-23.4403;102.88;9.6;K3V
HD 140643;pm;237.1489;-65.2334;102.88;8.5;K2IV-V
G 141-28;pm;280.4781;6.858;102.88;~;~
LP 194-43;pm;18.8118;41.7183;102.88;~;M4.5Ve
G 136-68;pm;227.1747;17.3894;102.89;~;M2/3
UCAC4 290-218814;pm;306.9664;-32.0049;102.89;~;~
LSPM J1546+1518;pm;236.6423;15.3119;102.89;~;~
Gaia EDR3 5730119524061101312;Star;132.8262;-16.5541;102.90;~;~
HD 68475;pm;122.7191;-42.8114;102.90;8.8;K2V
* 24 LMi;pm;154.117;28.6825;102.90;6.5;G2V
PM J21415+4925;pm;325.3804;49.4276;102.91;10.4;K7.5Ve
G 273-191A;pm;359.557;-17.4091;102.92;~;M2e
G 230-12;pm;296.827;59.7151;102.93;~;~
L 447-10;pm;68.1524;-39.0343;102.93;11.7;K6VI
LP 217-82;low;192.6715;40.3594;102.94;~;M7V
LSPM J1844+3633;pm;281.1765;36.5624;102.94;~;~
LP 785-17;pm;128.9768;-21.2487;102.94;13.9;~
G 167-24;pm;227.3656;23.0669;102.94;~;~
LSPM J2351+4949;pm;357.7726;49.8241;102.95;~;~
2MASS J12092283+0542056;low;182.3452;5.7016;102.95;~;M8V
LP 654-39;pm;64.7775;-7.4625;102.96;14.4;M3.5V
G 238-34A;pm;200.6878;64.6927;102.96;~;~
2MASS J16043145+0908387;low;241.131;9.1441;102.96;~;M8
HD 116056;pm;200.1116;43.1112;102.96;~;K0
PM J04312+2053;T Tau-type Star;67.8078;20.8955;102.96;12.5;~
2MASS J09352803-2934596;bd;143.8668;-29.5832;102.96;~;L0.3V
PM J04398-2035;pm;69.9511;-20.5931;102.96;13.6;~
Gaia DR2 5979774217697372928;Star;257.4853;-33.1184;102.98;~;~
PM J22369+3415;pm;339.2484;34.2612;102.98;12.3;~
HD 183658;pm;292.7197;-6.5144;102.99;7.3;G3V
CD-28 17852;pm;339.3534;-28.0807;103.00;11.8;M1
LSPM J0419+2143;pm;64.8258;21.7207;103.00;~;~
LP 533-55 A;pm;56.9554;8.0692;103.00;~;~
Gaia DR2 4214528403997128320;Star;290.4119;-2.8388;103.01;~;~
LP 263-35;dbl;162.8357;36.1237;103.01;~;M3.0V
GD 110;wd;150.9119;-3.6325;103.01;15.5;DA
2MASS J15452981+4204494;pm;236.3742;42.0804;103.01;~;~
LP 128-59;low;167.6385;54.4008;103.01;~;M7
LP 930-37;pm;326.8711;-26.4916;103.01;14.4;~
G 118-43B;pm;153.7785;31.4198;103.01;~;~
G 46-26;pm;137.8047;1.455;103.02;~;M4V
WT 326;pm;185.1235;-43.4909;103.02;~;~
G 161-39;pm;142.4936;-9.4117;103.02;11.9;~
L 1504-25;pm;314.1456;30.7977;103.02;~;~
2MASS J16232935+0000414;pm;245.8723;0.0115;103.03;~;~
EGGR 511;wd;8.823;-17.3143;103.03;14.9;DA5.1
G 238-34B;pm;200.6865;64.6924;103.03;~;M4.0
UCAC4 433-111615;pm;305.4939;-3.4252;103.03;13.7;~
G 83-23;pm;69.2833;11.1459;103.04;~;~
HD 90885A;pm;157.0772;-52.5617;103.05;8.4;K0.5V(k)
LP 377-78 A;pm;192.8496;22.1042;103.05;~;~
LSPM J0044+5610;pm;11.0603;56.179;103.05;~;~
CD-36 13007;pm;282.0056;-36.4133;103.06;11.7;K7
G 162-64;pm;157.7584;-4.0864;103.06;~;~
HD 8907;pm;22.1432;42.2677;103.06;6.7;F8
HD 64184;pm;117.361;-59.3808;103.06;7.5;G3V
G 174-18;pm;44.0312;52.4044;103.07;14.0;M3.12
[RHI84] 8-91;pm;261.4182;-34.2186;103.07;13.5;M3:
L 1504-26;pm;314.1445;30.7951;103.07;~;~
BD+54 886;dbl*;80.8335;54.7997;103.07;~;K3p
G 41-38;pm;142.0211;18.4939;103.07;~;~
HD 14039;dbl*;34.6024;56.5598;103.08;~;K1V
G 83-20;pm;68.7423;8.6672;103.08;~;~
G 199-40;pm;191.8637;57.1585;103.08;~;~
2MASS J08113409-2619208;Star;122.8922;-26.3225;103.09;~;~
2MASS J06572547-4019134;low;104.356;-40.3205;103.09;~;M7.5
PM J02344+1922;pm;38.6169;19.3775;103.10;~;M3.33
HD 90885B;pm;157.0746;-52.5611;103.10;8.6;K1V
LP 517-12;pm;318.1348;15.1363;103.11;~;~
WD 0430-391;wd;68.15;-39.0373;103.11;17.7;DC
LP 448-24;wd;265.7531;17.0294;103.12;~;DC
2MASS J17152122-3928516;pm;258.8384;-39.4809;103.12;~;~
UCAC4 323-004810;pm;64.0909;-25.5159;103.13;~;~
Gaia EDR3 6725944314841955456;Star;271.9089;-40.0267;103.13;~;~
2MASS J19581506+0708123;pm;299.5628;7.1369;103.13;~;~
2MASS J05421965+5645501;pm;85.582;56.7638;103.13;~;~
Gaia DR2 4118802894566964992;Star;267.9525;-20.4064;103.13;~;~
* 13 Peg;ev;327.5362;17.2858;103.13;5.3;F2III-IV
CD-80 56;dbl;26.4744;-80.3002;103.13;9.7;K5V
LSPM J0608+0532;pm;92.2109;5.5446;103.14;~;~
LP 105-29;pm;292.101;62.5996;103.16;~;~
BD+38 2037;pm;142.238;38.066;103.16;10.4;K5V
PM J03478+0804E;pm;56.9593;8.0725;103.16;~;~
LP 799-74;pm;213.0982;-18.7185;103.16;~;~
HD 215812B;pm;341.9585;-4.2288;103.17;7.6;G8V
WT 214;pm;112.1671;-61.3448;103.17;16.1;M4V
PM J15063+0742;low;226.5898;7.7154;103.17;12.4;M2e
* 38 Vir;dbl;193.2965;-3.5531;103.17;6.1;F6V
Wolf 429;pm;188.964;6.7571;103.17;~;M3.5:
PM J14435-5430;pm;220.8963;-54.5124;103.18;~;~
UCAC3 74-15101;pm;87.756;-53.1041;103.18;13.1;~
LP 644-94;pm;2.3064;-4.1339;103.19;11.7;M2.5V
LSPM J0133+6220;pm;23.3942;62.3385;103.19;~;~
G 46-27;pm;137.8029;1.4597;103.19;~;M4V
G 59-31;pm;189.7845;25.3478;103.19;~;M3.5
2MASS J07411213+4012426;pm;115.3005;40.2118;103.20;~;~
HD 3861;pm;10.2995;9.3551;103.20;~;F8V
* 53 Vir;pm;198.0148;-16.1986;103.20;5.0;F5.5V
LP 151-19;pm;18.3281;51.3142;103.20;14.7;~
UCAC4 323-004809;pm;64.09;-25.5148;103.20;~;~
PM J13372+0908;Star;204.3235;9.1334;103.20;12.9;~
RX J0917.7+4612;dbl;139.4363;46.2069;103.21;11.6;M1.7V
SIPS J1149-4012;pm;177.4571;-40.2121;103.21;~;~
LP 515-4;pm;304.7884;14.6378;103.21;~;~
RX J1754.2+3302B;pm;268.5742;33.0387;103.21;~;~
2MASS J04253992-0841080;pm;66.4164;-8.6855;103.21;~;~
LP 471-50;pm;46.5626;12.0985;103.21;~;~
UCAC4 291-138492;pm;268.3506;-31.9316;103.22;~;~
2MASS J06205320-6730302;pm;95.2217;-67.5083;103.22;~;~
HD 265835;pm;103.7238;34.4535;103.22;10.7;K7.5V
Gaia EDR3 4618550411255512448;pm;45.4768;-83.2462;103.23;~;~
HD 30286;pm;71.5687;3.2688;103.23;7.8;G5VFe-0.4
LP 911-9;pm;201.1152;-33.2728;103.23;14.9;~
2MASS J13484591+0353545;bd;207.1913;3.8985;103.23;~;L1
LP 651-2;pm;40.8077;-7.4838;103.23;19.1;M6.5e
LP 737-81;pm;198.0931;-10.1185;103.25;10.5;K7V
Gaia DR2 4052188432808560896;Star;273.9685;-28.0522;103.25;~;~
LSPM J0220+6311;pm;35.0051;63.1908;103.26;~;~
[PS78] 219;pm;22.2278;-26.713;103.27;17.0;M3
WT 493;pm;220.4648;-42.988;103.27;~;~
LP 944-38;pm;56.1995;-38.3371;103.28;~;M2e
2MASS J15062483+7029219;pm;226.6035;70.4894;103.28;~;~
HD 201891;pm;317.996;17.7277;103.28;7.4;G5V_Fe-2.5
HD 275227;pm;49.8604;38.0133;103.28;10.6;M0
BD+48 1958A;dbl*;174.3524;47.4625;103.29;10.7;~
Gaia DR2 6802437922881746176;Star;314.1399;-26.1196;103.29;~;~
G 187-4;pm;311.2592;32.8972;103.30;11.8;M0.5Ve
G 266-87;pm;4.8221;-19.9085;103.31;14.6;M0.5V
PM J22300+4851B;pm;337.5167;48.8595;103.31;~;~
LSPM J1612+1742;pm;243.2018;17.7077;103.31;~;~
LSPM J0811+2946;pm;122.9938;29.7747;103.31;~;~
BD+76 614;pm;248.5541;75.9821;103.32;9.9;K7
HD 23079;pm;54.9296;-52.9158;103.33;7.1;F9.5V
Gaia EDR3 4725208704209795712;pm;40.7515;-60.5708;103.33;~;~
UCAC4 470-013520;Star;87.4968;3.8611;103.33;12.4;~
HD 215812A;pm;341.9591;-4.229;103.33;7.2;G2V
HD 83529B;pm;144.3689;-49.9919;103.34;~;~
Gaia EDR3 6036456382825238272;pm;240.1607;-32.0902;103.34;~;~
TIC 260972843;pm;75.474;-78.937;103.35;~;~
HD 117860;pm;203.2971;-8.4433;103.35;7.4;G2V
LEHPM 1789;pm;25.4211;-55.4017;103.35;~;~
BD+76 614B;wd;248.548;75.9827;103.35;~;DA
HD 83529;pm;144.3694;-49.9909;103.35;7.0;G3V
2MASS J00374965+3910228;pm;9.4568;39.173;103.37;~;~
LP 533-55 B;pm;56.955;8.0696;103.37;~;~
UPM J1625+0643;pec;246.4549;6.7243;103.37;~;~
2MASS J09474477+0224327;low;146.9366;2.4091;103.37;~;M8.2V
LP 238-43;pm;350.3147;42.7103;103.38;~;~
PM J03180+4651;pm;49.5244;46.8626;103.38;12.3;~
LP 73-135;pm;301.758;67.1643;103.39;~;~
PM J22300+4851A;pm;337.5176;48.8597;103.39;~;~
2MASS J00492677-0635467;low;12.3615;-6.5964;103.39;~;M8.5
UPM J1609-0809;pm;242.2721;-8.163;103.39;15.3;~
2MASS J22263689-0239502;pm;336.6538;-2.664;103.39;~;M6.5
LP 349-73;pm;11.4077;26.0665;103.40;~;K7V
Gaia EDR3 5616844297126718208;Star;110.6737;-24.997;103.40;~;~
2MASS J03440892+0111251;bd;56.0372;1.1903;103.40;~;L2.9:V
HD 122803;Star;211.1212;-25.4988;103.41;10.1;K3/5V
BD+01 4594;pm;333.6114;2.7067;103.41;~;K5V
LP 571-93;pm;280.6132;3.4232;103.41;~;~
SIPS J1832-4435;low;278.0992;-44.5859;103.42;~;M6e
HD 208573;pm;329.4552;-29.1163;103.42;9.0;K2V
UCAC4 293-067359;pm;174.7514;-31.4599;103.42;11.3;~
LEHPM 1716;pm;24.2091;-53.8006;103.42;~;~
G 245-39;pm;30.2634;76.6549;103.42;~;M3.5
PM J23317-0625;pm;352.9485;-6.4307;103.43;14.5;M4.5V
2MASS J23444256+0909020;bd;356.1773;9.1506;103.43;~;L1.0
HD 93528;pm;161.8798;-22.348;103.44;8.4;K0V
SSSPM J0109-4955;low;17.2883;-49.9148;103.44;~;M8
Gaia DR2 4258279071208587904;Star;281.1416;-3.9281;103.44;~;~
UPM J2306-6223;pm;346.5561;-62.389;103.45;13.8;~
HD 85390;pm;147.5104;-49.7903;103.45;8.6;K1.5V
Ruiz 439-80;wd;171.7886;-29.6698;103.45;15.0;DA5.3
UCAC3 45-41080;pm;133.3418;-67.8944;103.45;11.6;~
LP 930-38;pm;326.8725;-26.4922;103.46;14.4;~
LEHPM 3378;pm;52.9412;-49.0142;103.46;~;~
EGGR 64;wd;139.1698;43.9949;103.46;~;DA5.8
G 194-28;pm;127.1946;50.7925;103.46;~;~
PM J18429-1639;pm;280.7348;-16.6561;103.46;16.3;~
G 275-78;pm;354.7801;-25.9657;103.47;13.2;~
2MASS J04105703-4257511;pm;62.7376;-42.9642;103.48;~;~
G 272-127;pm;29.2961;-10.2481;103.48;10.6;M0.0Ve
G 92-5;pm;292.4371;-1.9412;103.50;13.7;M3.5V
2MASSW J0051107-154417;bd;12.795;-15.738;103.50;~;L6
2MASS J22510003+1144551;pm;342.7501;11.7487;103.50;~;~
StKM 1-1546;pm;267.5198;39.3091;103.50;~;K7.5Ve
LSPM J2116+4759;pm;319.021;47.9919;103.50;~;~
* 33 Peg;dbl;335.9149;20.8483;103.50;~;F7IV
G 143-22;pm;300.5072;7.3837;103.50;~;M3.09
UPM J1149-0019B;pm;177.2613;-0.3234;103.50;13.0;~
BD+48 1958B;pm;174.353;47.4623;103.51;11.2;M0V
LP 292-71;pm;5.492;31.6207;103.51;~;~
2MASS J15102960+3619480;low;227.6233;36.3299;103.51;~;M9V
LSPM J1903+2025;pm;285.9319;20.4289;103.52;~;~
HD 213628;pm;338.3779;-35.4445;103.53;7.8;G8V
CD-33 7779;pm;172.5777;-34.5004;103.54;9.9;K4.5Vk:
Cl* Melotte 25 CFHT 19;low;64.3533;16.5768;103.54;~;M8
G 144-39;dbl;312.2186;19.718;103.55;~;M3.39
BD-21 3153;pm;161.8558;-22.2867;103.55;10.0;K4.5Vk:
LP 709-8;pm;29.5739;-10.8945;103.55;17.7;~
StKM 1-442A;pm;60.1671;-23.0813;103.55;~;~
L 377-69;pm;76.8838;-43.0737;103.56;~;~
HD 11964;pm;29.29;-10.2424;103.57;6.4;G9VCN+1
G 193-60;pm;115.7692;51.1566;103.58;~;~
LEHPM 2422;pm;35.7049;-36.7512;103.58;~;~
G 129-54;pm;0.1635;18.4889;103.59;~;K6V
G 58-18A;pm;161.8885;20.1278;103.59;~;~
LP 884-67;pm;29.2581;-30.451;103.59;16.6;~
LP 856-26;wd;209.7826;-23.5576;103.59;14.9;DA5.2
LSR J1554+1639;pm;238.501;16.6638;103.59;~;~
MCC 783;dbl;254.4422;13.2915;103.61;10.9;M0V
L 26-99;pm;5.6132;-79.1664;103.61;11.6;M2e
SIPS J2127-3332;pm;321.9454;-33.5373;103.61;~;~
Gaia DR2 4117260795135840384;Star;265.03;-21.6947;103.61;~;~
CD-26 605A;pm;25.7054;-25.8903;103.62;~;~
SIPS J0506-4956;pm;76.6822;-49.9429;103.63;~;~
UCAC4 187-006924;pm;89.8772;-52.6433;103.63;14.9;~
UCAC4 426-056504;pm;185.1857;-4.8627;103.63;14.9;~
G 275-71;pm;353.9531;-24.3192;103.64;13.7;M2.5V
BD+22 2271;pm;161.83;21.4975;103.64;~;K5V
LP 524-6;pm;359.5451;3.8899;103.64;~;~
HD 334100A;pm;304.5559;29.2042;103.64;9.1;~
HD 317101A;pm;271.36;-29.4975;103.64;10.6;M
SCR J1905-4550;pm;286.4669;-45.8378;103.65;15.0;~
G 193-59;pm;115.751;51.1621;103.65;~;~
HD 334100B;pm;304.5563;29.2041;103.65;9.9;~
UCAC4 426-056505;pm;185.1865;-4.8614;103.65;~;~
LSPM J2237+4936N;pm;339.4637;49.6153;103.66;~;K4V:
PM J07515-3919;pm;117.8791;-39.3292;103.66;~;~
LP 734-48;pm;184.4249;-11.921;103.66;17.4;~
SIPS J1500-0131;pm;225.2038;-1.5285;103.66;~;M7V
LP 84-39;pm;70.4455;62.2856;103.67;~;~
UCAC4 354-189365;pm;317.5192;-19.3418;103.67;13.1;M5
PM J18044-1005;pm;271.1172;-10.0913;103.67;15.9;~
Gaia EDR3 5513998895734764544;Star;120.355;-50.5741;103.68;~;~
LP 259-17;pm;133.6767;35.1414;103.68;~;~
StKM 1-87;Star;13.039;6.803;103.68;13.8;K7V
LP 193-564 B;pm;12.2424;44.5858;103.68;~;~
* eps Vir;pm;195.5442;10.9592;103.69;2.8;G8III-IIIb
PG 1026+024;wd;157.2909;2.0982;103.69;14.2;DA3.8
HD 117556;pm;202.7639;4.4732;103.69;9.0;K2V
SIPS J0239-6635;pm;39.7958;-66.5838;103.69;~;~
PM J18195+4201;pm;274.894;42.0271;103.69;12.0;M1.5Ve
2MASS J00364481-2031317;pm;9.1867;-20.5254;103.70;~;M9
LP 850-20;pm;170.0753;-22.501;103.70;~;M5V
APMPM J0216-5233;pm;33.9596;-52.549;103.70;14.2;M4V
HD 99747;pm;172.269;61.7784;103.70;~;F5VkF0mA9
Gaia EDR3 855759215683390080;Brown Dwarf Candidate;164.8599;54.9021;103.70;~;~
HD 6735;pm;16.8835;-41.7467;103.70;7.0;F9V
GR* 178;pm;27.9257;-15.2882;103.71;15.2;~
HD 196390;pm;309.7605;-49.3314;103.71;7.3;G1.5V
Gaia EDR3 4531427996107723520;wd*;282.9;22.2188;103.71;~;~
HD 195838;pm;308.5487;-13.7211;103.71;6.1;F9VFe-0.6CH-0.3
LP 990-144;pm;16.8974;-41.7671;103.71;13.4;~
UPM J1112-4834;pm;168.1262;-48.5711;103.72;~;~
UPM J1054-1507;pm;163.596;-15.1189;103.72;16.3;M5.5e
V* V1198 Ori;rs;74.5707;0.4539;103.73;~;G5IVe
LSPM J1410+4354;pm;212.6643;43.9019;103.74;~;~
PM J12057+5355;pm;181.4439;53.9306;103.75;11.7;M0.5Ve
LP 813-26 B;pm;298.8532;-15.8103;103.75;~;~
PM J22478-3351;pm;341.972;-33.8573;103.75;11.6;M1
LP 543-18;pm;115.4969;7.6691;103.76;~;~
LEHPM 3582;pm;59.4544;-37.9011;103.76;11.7;M1e
UPM J1651-6613;pm;252.8324;-66.2274;103.76;~;~
LP 162-14;pm;111.1164;48.7565;103.77;~;~
2MASS J00415370-4650092;pm;10.4738;-46.8359;103.77;~;~
G 68-14;pm;351.0479;25.7305;103.78;~;~
HD 8004;pm;20.1539;54.9624;103.78;7.2;G0
LSPM J1323+1113W;pm;200.9705;11.232;103.78;~;~
2MASS J04234211-8508578;pm;65.9256;-85.1494;103.78;~;~
2MASS J18120986+0531363;pm;273.0411;5.5267;103.78;~;~
SIPS J1137-3845;pm;174.253;-38.7536;103.79;~;~
L 118-272;pm;331.0323;-69.9278;103.79;~;M2.5
HD 134043;pm;226.6334;38.9854;103.80;~;G9
UCAC4 135-167756;pm;274.2119;-63.0888;103.80;12.7;M1.5V
Wolf 122;pm;32.1653;3.4995;103.80;~;~
LP 577-42;pm;321.1041;4.3885;103.81;~;~
[SCH2006b] J04245748+24020200;Star;66.2395;24.0338;103.81;~;M7.5V
V* AG Dor;rs;61.8716;-52.5715;103.82;8.6;K2IV-Vk
Gaia EDR3 6363592840482769792;pm;270.8118;-80.964;103.83;~;~
Smethells 19;Star;281.3433;-51.4211;103.83;11.7;M2V
LP 710-70;pm;40.1155;-9.7251;103.84;~;~
LP 65-181;pm;194.0881;65.0608;103.84;~;~
PM J20015+2814B;pm;300.3909;28.236;103.84;~;~
HD 197711;pm;311.5404;-21.7457;103.85;7.9;K1IV-V
L 157-110;pm;271.0408;-64.4945;103.85;11.5;M1V
* 14 Boo;dbl;213.5216;12.9594;103.86;~;F8V
UCAC4 398-053041;wd;180.2329;-10.5391;103.86;16.5;DA
Gaia DR2 5617694734996324224;Star;109.8667;-24.1858;103.86;~;~
HD 102634;pm;177.2553;-0.3187;103.86;6.2;F8V
UCAC4 682-067880;wd;291.6122;46.3375;103.86;16.0;DA
SCR J0743-1929;pm;115.8421;-19.4843;103.87;~;~
UCAC4 382-156166;pm;308.5419;-13.7219;103.87;~;~
2MASS J20352037-3110083;pm;308.8349;-31.169;103.87;~;M7.9V
CD-26 1087;pm;44.3885;-26.2683;103.87;10.4;K5+Vk:
LP 555-3;pm;185.3323;6.2828;103.88;~;~
PM J08310+4012B;pm;127.7576;40.203;103.88;~;~
Wolf 1484;pm;218.9426;-13.1412;103.88;13.2;~
LP 769-39;pm;32.0064;-18.3663;103.89;16.7;~
L 118-273;pm;331.0242;-69.925;103.89;11.1;K4
LP 990-143;pm;16.8962;-41.7663;103.89;~;~
SIPS J0426-3612;pm;66.7447;-36.2121;103.89;16.2;~
LP 331-26;pm;254.7572;29.635;103.89;~;M0.5Ve
PM J08310+4012A;pm;127.7571;40.2033;103.89;~;~
SIPS J0717-6131;pm;109.4142;-61.5256;103.90;~;~
SIPS J2233-4659;pm;338.3189;-46.9942;103.90;~;~
CD-29 18469;pm;342.2206;-28.8342;103.91;10.7;K7V
LP 798-19;pm;204.9092;-18.0692;103.91;13.9;~
2MASS J20473176-0808201;low;311.8824;-8.139;103.91;~;M7
UPM J2310+6641;pm;347.5254;66.6981;103.91;14.3;~
Smethells 32;pec;288.6285;-46.9122;103.92;12.9;M4V
Gaia DR2 4261706214568955520;Star;286.1556;-2.4572;103.92;~;~
WT 1760;ecl;153.0256;-28.8605;103.93;16.2;M4V
LSPM J0605+0132;pm;91.2683;1.5366;103.93;13.5;~
LP 876-76;pm;338.1749;-20.9933;103.95;11.6;K8Vk
2MASS J15230657-2347526;bd;230.7773;-23.798;103.95;~;L0
G 203-33;pm;253.2292;40.0856;103.96;~;M2.99
